"","Country","Species","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","total"
"501","China","Eucheuma seaweeds nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25605.2,34235.2,37276.8,33632,36646.48,34426.88,34328.25,35671.06,39644.41,67622.21,70340.46,34408.92,39742.26,42906.46,47227.31,15269.8,628983.7
"502","China","Fleshy prawn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183606.8,161766.04,163390.14,177578.51,154956.42,189441.5,201215.34,218731.65,232386.24,252597.23,277238.76,336377.74,309338.19,284773,273443.4,407018.8,3823859.76
"503","China","Freshwater fishes nei",0,0,0,0,0,181978.2,178030,234928.35,235653.3,389259,454750,491551.2,584509.3,694786.6,696909.6,744486,840255.5,901305.3,1226656.2,345187.5,322284.9,445341.5,514861.39,612099.88,917455.29,673842.34,916657.87,1244050.8,1687794.49,2119667.28,1729173.5,1651185.12,1806151.91,1297065.71,1467931.25,25605809.28
"504","China","Freshwater molluscs nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9248,10136.95,13575.04,12038.99,15471.61,50112.32,44842.9,45429.46,68849.21,68007.38,39316.42,774676.2,67644.86,73009.8,66409.62,62336.82,1421105.58
"505","China","Freshwater mussel shells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18276.4,20900.77,21984.06,16717.91,16527.49,14810.66,17637.28,15078.49,16022.12,14151.66,13091.33,7738.86,5789.12,198726.15
"506","China","Freshwater prawns, shrimps nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174120.8,83426.13,159071.7,58499.59,186439.62,69382.61,84452.53,89033.6,103369.38,145164.6,823004.31,135909.78,141545.58,295158.2,593252.6,279478.16,3421309.19
"507","China","Frogs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249750,235832.56,265899.72,285050.43,384905.8,472968.77,537969.25,498442.42,560417.69,629836.01,711678.85,799798.2,735061.62,810452.41,868045.56,968457.1,9014566.39
"508","China","Fusiform sargassum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30374.4,46085.6,34229.2,45692,57501.72,44789.76,41407.44,43414.8,71404.63,79174.46,115146.67,140837.76,150116.15,154082.35,167774.83,195033.94,1417065.71
"509","China","Giant river prawn",0,0,0,0,0,0,0,0,0,0,0,0,112089,119736,160955.8,194782,229205.7,300461.4,265634.1,203515.2,288870.36,293789.45,367096.07,568184.76,677020.82,775554.3,714896.82,809453.93,864472.6,877427.33,1003457.53,1007846.38,1099696.02,1193246.32,1157681.74,13285073.63
"510","China","Giant tiger prawn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152058.2,180206.96,247965.67,269920.41,225949.54,271122.35,272935.79,273376.01,338653.9,395656.56,476099.36,522845.08,522594.83,524826.2,549157.1,550098.8,5773466.76
"511","China","Gracilaria seaweeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132724.8,233316.9,258642.6,266652,307303.59,366227.2,416320.46,408594.31,653559.86,956023.03,1314404.71,1491205.06,1498225.03,1573340.67,1694620.26,1813588.56,13384749.04
"512","China","Grass carp(=White amur)",336908,442556,548948,648024,724904,1158825.88,1268766.76,1255154.4,1355029.5,1464945,1610631.9,1760339.8,2167117.2,2206620.9,2266783.2,2290543.45,2204702.4,2296714.4,2366239.2,2413752.8,2553872.88,2689730.61,2789203.98,4284935.42,5197418.69,5798013.78,6382459.95,7741702.08,8775153.72,10029364.61,11228143.12,11699712.82,12153847.42,12289628.66,12654388,147055082.53
"513","China","Green mud crab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176612,189829.27,214592.28,210669.48,221739.34,300341.58,311213.33,331266.38,401613.07,468440.21,540885.86,582415.31,576986.47,632267.43,657296.2,682104.4,6498272.61
"514","China","Groupers nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23453,28887.25,37473.23,49233.07,46796.57,59907.22,59531.78,70894.96,98853.27,132728.54,162135.39,183111.67,205469.55,232844.92,285696.19,346605.59,2023622.2
"515","China","Japanese carpet shell",68737.5,100585.5,132921,170578.5,201418.5,278278.5,350497.5,475702.95,806559.6,1232899.65,1438544.9,1443521.25,1476829.8,1532126.7,1653878.2,1919799.6,1711380,2034867.5,2319099.2,2563354.6,1787169.72,2010274.27,2254045.81,2407279.64,3030550.34,3218719.14,3801860.87,4487799.12,5093728.11,5668847.93,6164704.21,6160102.65,6691935.6,6784930.71,6627180.22,88100709.29
"516","China","Japanese eel",0,0,0,0,0,90000,108275.2,132960.3,155813.5,175000,198000,222000,265168.8,280330.2,263370.6,260532,252120.6,249894.3,262183.85,139344,123036,289075.78,364390.92,544661.16,626241.25,663416.89,702721.01,789296.32,847727.88,886294.14,992041.05,1042555,1054975,1086315,1166110,14233850.75
