Country (Country),ASFIS species (CPC class),FAO major fishing area (FAO major fishing area),Environment (Environment),Unit (Unit),Unit,2013,2014,2015,2016,2017,2018
Bolivia (Plurinat.State),"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1813.03,2460.2,8714.33,9030.39,9312.59,9312.59
Bonaire/S.Eustatius/Saba,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Bosnia and Herzegovina,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1743.2,695.5,2785.4,2479.1,1525.39,1844.8
Bosnia and Herzegovina,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,91.2,244,0,0,0,0
Bosnia and Herzegovina,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1175.9,1090.7,939.6,935.28,1147.25,1129.7
Bosnia and Herzegovina,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,6,0,0,0,0,0
Bosnia and Herzegovina,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,12938.8,8672.2,10204.44,10920.06,10204,10205.63
Botswana,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,78.98,55.04,57.98,58.82
Brazil,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,932518.67,1142239.21,914864.29,933077.79,1017019.88,912101.61
Brazil,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,22902.58,34614.39,22780.82,17134.93,22811.38,14368.5
Brazil,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,94,82.11
Brazil,"Other molluscs, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Brazil,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,403.51,369.75,261.5,249.19,408.91,369.48
Brazil,"Other shrimps and prawns, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,354824.97,337023.46,271035.74,291423.28,407972.77,407244.42
Brazil,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,4035.08,5021.78,3342.84,2541.99,3384.11,2408.43
Brazil,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,4975.66,9320.21,7021.54,5502.23,9400.29,8621.1
Brazil,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,28.64,31.33,27.37
Brazil,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,50.79,46.54,32.91,31.36,34.31,29.97
Brazil,Others,All,Freshwater,Value (USD 1000),USD 1000,2040.73,1402.49,991.91,638.73,698.75,610.32
British Virgin Islands,"Rock lobster and other sea crawfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,13.75,12.15,23.17,24.02
Brunei Darussalam,"Crabs, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Brunei Darussalam,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,18.61,0,0,0,0,12.01
Brunei Darussalam,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,134.67,25.55,42.48,98.69,143.39,40.06
Brunei Darussalam,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,7.52
Brunei Darussalam,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,452.38,967.9,1242.35,1343.26,2321.69,2998.47
Brunei Darussalam,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,128.12,39.18,77.46,221.96,325.88,433.68
