"","Country","CPC_Class","y13","y14","y15","y16","y17","y18"
"311","El Salvador","Other shrimps and prawns, live, fresh or chilled",3053.16,3215.52,2168,5035.52,5152,5152
"312","El Salvador","Other shrimps and prawns, live, fresh or chilled",90,18,8.88,17.99,26.46,26.46
"313","El Salvador","Oysters, live, fresh or chilled",15,15,15,15,22.5,22.5
"314","Equatorial Guinea","Freshwater fish, live, fresh or chilled",36.23,38.63,32.29,59.02,60.13,62.98
"315","Eritrea","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"316","Eritrea","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"317","Estonia","Freshwater fish, live, fresh or chilled",1875.82,930.3,1268.46,1239.99,1055.7,862.03
"318","Estonia","Other crustaceans, live, fresh or chilled",32.35,19.75,24.19,29.31,34.38,21.31
"319","Estonia","Other fish, live, fresh or chilled",0,1164.16,246.99,163.24,123.53,167.31
"320","Estonia","Salmonidae, live, fresh or chilled",1817.58,2580.39,2232.78,2861.92,2989.05,3903.12
"321","Estonia","Salmonidae, live, fresh or chilled",0,0,0,0,0,0
"322","Eswatini","Freshwater fish, live, fresh or chilled",155.36,138.22,117.56,101.97,112.5,113.28
"323","Eswatini","Other crustaceans, live, fresh or chilled",0,0,0,0,0,0
"324","Ethiopia","Freshwater fish, live, fresh or chilled",36.7,71.61,72.17,71.37,85.73,98.05
"325","Ethiopia","Salmonidae, live, fresh or chilled",1.05,1.66,1.58,2.99,5.45,4.74
"326","Falkland Is.(Malvinas)","Mussels, live, fresh or chilled",0,0,0,0,0,0
"327","Falkland Is.(Malvinas)","Oysters, live, fresh or chilled",0,0,0,0,0,0
"328","Faroe Islands","Salmonidae, live, fresh or chilled",496273.58,565632.03,439903.83,454382.65,525830.08,499792.64
"329","Fiji","Clams, cockles and ark shells, live, fresh or chilled",0,0,0,0,0,0
"330","Fiji","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",0,0,0,0,0,0
"331","Fiji","Crabs, live, fresh or chilled",0,94.58,85.1,85.22,123.37,122.16
"332","Fiji","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"333","Fiji","Freshwater fish, live, fresh or chilled",488.76,540.44,486.26,515.59,589.29,626.62
"334","Fiji","Mussels, live, fresh or chilled",0,0,0,0,0,0
"335","Fiji","Other fish, live, fresh or chilled",0,0,0,0,0,0
"336","Fiji","Other shrimps and prawns, live, fresh or chilled",32.58,31.79,28.6,28.64,29.03,28.74
"337","Fiji","Other shrimps and prawns, live, fresh or chilled",244.38,238.43,214.53,214.83,217.72,215.58
"338","Fiji","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",47,55,55,55,55,55
